sensor_image,wf_x_mm,wf_y_mm,depth_mm,roll_deg,pitch_deg,yaw_deg,d_bottom_mm,d_top_mm,d_left_mm,d_right_mm,d_nearest_mm,signed_d_nearest_mm,nearest_ridge,d_second_nearest_mm,is_corner,side,ridge_orient_deg
image_00001.png,-60.0,-52.40714805436302,-1.1093167125356773,-2.57545573680848,-0.8466446271563437,-9.829576298050263,0.0,120.0,7.59285194563698,112.40714805436302,0.0,0.0,0,7.59285194563698,1,0,0.0
image_00002.png,-59.90401919616077,-55.64940800362415,1.8298660532432183,1.4105530931862682,-4.617502184076946,3.5082872624332877,0.09598080383923246,119.90401919616076,4.350591996375847,115.64940800362416,0.09598080383923246,0.09598080383923246,0,4.350591996375847,1,0,0.0
image_00003.png,-59.808038392321535,-53.32327943863644,4.798616149324053,1.049388867885037,0.7114148245870291,5.779502184696312,0.19196160767846493,119.80803839232154,6.67672056136356,113.32327943863643,0.19196160767846493,0.19196160767846493,0,6.67672056136356,1,0,0.0
image_00004.png,-59.7120575884823,-65.64744064059309,4.706639046283284,-3.320457160378961,-2.893114120237567,8.862814023617869,0.2879424115176974,119.71205758848231,5.647440640593089,125.64744064059309,0.2879424115176974,0.2879424115176974,0,5.647440640593089,1,0,0.0
image_00005.png,-59.61607678464307,-47.74075818039777,1.7091544645188126,-7.321746056071232,7.507848967102147,18.037649245921507,0.38392321535692986,119.61607678464307,12.25924181960223,107.74075818039776,0.38392321535692986,0.38392321535692986,0,12.25924181960223,1,0,0.0
image_00006.png,-59.52009598080384,-48.924285067310606,-0.10817965181731948,-2.6118800379225506,-3.428154854792322,4.131879348388303,0.4799040191961623,119.52009598080383,11.075714932689394,108.9242850673106,0.4799040191961623,0.4799040191961623,0,11.075714932689394,1,0,0.0
image_00007.png,-59.424115176964605,-48.25185147960303,1.410743107186748,1.4037610816753323,-6.196855979639101,-0.5083364212642218,0.5758848230353948,119.4241151769646,11.748148520396967,108.25185147960303,0.5758848230353948,0.5758848230353948,0,11.748148520396967,1,0,0.0
image_00008.png,-59.32813437312537,-60.34698328962514,4.860168795128394,-3.5925200377841344,-9.033808586882314,19.908346163933572,0.6718656268746273,119.32813437312538,0.34698328962514324,120.34698328962514,0.34698328962514324,-0.34698328962514324,3,0.6718656268746273,1,0,90.0
image_00009.png,-59.23215356928614,-47.17371058438517,4.545994086550093,-1.716470175998706,-3.189128127168364,-12.747345037635133,0.7678464307138597,119.23215356928614,12.82628941561483,107.17371058438516,0.7678464307138597,0.7678464307138597,0,12.82628941561483,1,0,0.0
image_00010.png,-59.13617276544691,-72.73514433793508,5.25278903964836,-1.4487571962557444,3.1934228523894204,2.0316743069355487,0.8638272345530922,119.1361727654469,12.735144337935083,132.73514433793508,0.8638272345530922,0.8638272345530922,0,12.735144337935083,1,0,0.0
